2018/02/28 3:44:57 午後 GMT+9	1	男	将来の夢につながるから	特になし	情報系	Windows	英検;数検	プログラミングをすること;マイコンなどの電子工作;ゲーム制作;アプリ開発;画像処理;映像制作;音楽制作;3DCG制作;WebやDTPなどのデザイン	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	プログラミング学習	興味があればすごく楽しいです。	迷っている				
2018/02/28 3:45:09 午後 GMT+9	1	男	パソコン関係の仕事をしたかった	特になし	情報系	Windows	数検;漢検	プログラミングをすること;ゲーム制作;Webサイト制作;アプリ開発;音楽制作	同じ趣味の人が多いこと;学校が楽しい;休みが多い	ゲーム制作	勉強頑張って	大学編入	情報 (工学)系			
2018/02/28 3:45:25 午後 GMT+9	1	男	人工知能に興味があったから	特になし	情報系	Mac	漢検	プログラミングをすること;ディープラーニングや人工知能;ゲーム制作;アプリ開発	休みが多い	特になし	興味少しでもあったら来るべき	迷っている				
2018/02/28 3:45:32 午後 GMT+9	1	男	これ関係の勉強に興味があったから	特になし	迷っている	Windows	なにもなし	プログラミングをすること;ゲーム制作;Webサイト制作;アプリ開発;画像処理	学校が楽しい	特になし	コツコツ勉強することをお勧めするよ	迷っている				
2018/02/28 3:45:32 午後 GMT+9	1	女	やってみたいとおもったから	特になし	迷っている	Windows	英検	プログラミングをすること;ロボットやドローン;マイコンなどの電子工作;ゲーム制作;Webサイト制作;アプリ開発;画像処理;映像制作;音楽制作	同じ趣味の人が多いこと;学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	もっと高度なプログラミング	クラスメイトが個性的で面白い！	迷っている				
2018/02/28 3:45:39 午後 GMT+9	1	女	プログラミング	特になし	情報系	Windows	数検;漢検	プログラミングをすること;ゲーム制作;アプリ開発	同じ趣味の人が多いこと;やりたいことが出来ること;休みが多い	ゲーム制作	学科によって雰囲気が全然違うのでE科を選べ	就職			ゲームクリエイター	特にし
2018/02/28 3:45:51 午後 GMT+9	1	女	パソコンに興味があったから	特になし	迷っている	Windows	もっていない	プログラミングをすること;ゲーム制作;Webサイト制作;アプリ開発;音楽制作	同じ趣味の人が多いこと	特になし	がんばれ	専攻科進学				
2018/02/28 3:46:05 午後 GMT+9	1	男	パソコンを触りたかったから	特になし	情報系	Windows	なし	プログラミングをすること;ディープラーニングや人工知能;ゲーム制作;アプリ開発;映像制作;音楽制作	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;やりたいことが出来ること;休みが多い	ゲーム制作	入らない方がいいよ	迷っている				
2018/02/28 3:46:12 午後 GMT+9	1	男	高専祭で見て興味を持ったから	特になし	電気電子系	Windows	持っていない	プログラミングをすること;マイコンなどの電子工作;ゲーム制作;Webサイト制作;アプリ開発;画像処理;映像制作;音楽制作	学校が楽しい;やりたいことが出来ること;休みが多い;部活が楽しい	ゲーム	がんばれ！	就職			鉄道関係	JR
2018/02/28 3:46:16 午後 GMT+9	1	女	高専祭の展示を見て	特になし	情報系	Windows	英検	アプリ開発	専門科目が先取りできること;やりたいことが出来ること;休みが多い;部活が楽しい	アプリ開発	頑張ってください	迷っている				
